iter	Logloss
0	0.6168522271
1	0.5618222521
2	0.520112481
3	0.4855319146
4	0.4631271023
5	0.4436412828
6	0.4284556953
7	0.4170415514
8	0.4076986287
9	0.40141706
10	0.3953463609
11	0.389561164
12	0.3862003309
13	0.3830777452
14	0.3801849908
15	0.376562656
16	0.3743499349
17	0.3707087402
18	0.3686821289
19	0.3667558322
20	0.3645273234
21	0.3629070095
22	0.3610132107
23	0.3590646566
24	0.3577047187
25	0.3557630073
26	0.3542328627
27	0.3529091119
28	0.351648234
29	0.3503798353
30	0.3493015476
31	0.3483117947
32	0.3470521715
33	0.3456308153
34	0.3449452684
35	0.3438939107
36	0.3431261936
37	0.3421453857
38	0.3410155538
39	0.3405344747
40	0.3398967624
41	0.3389059245
42	0.3382821486
43	0.3375053338
44	0.3368280199
45	0.3362523702
46	0.3357859972
47	0.3351562975
48	0.3338999634
49	0.3336060045
50	0.3329830051
51	0.3322054376
52	0.3318176914
53	0.3313912252
54	0.3305989753
55	0.3298752068
56	0.3294233297
57	0.3289643826
58	0.3283767158
59	0.327808509
60	0.3274055922
61	0.3270323147
62	0.326705502
63	0.3264591946
64	0.3259459229
65	0.3256835124
66	0.3252294956
67	0.3246953634
68	0.324397956
69	0.3240122274
70	0.323670695
71	0.3229279412
72	0.3225787659
73	0.3220354038
74	0.3216721124
75	0.3213296305
76	0.3209976027
77	0.320615665
78	0.3201997104
79	0.3197956814
80	0.319398997
81	0.3189059584
82	0.3185667182
83	0.3181672092
84	0.317844357
85	0.317593533
86	0.3173569573
87	0.3168427633
88	0.3165249363
89	0.3159826287
90	0.315396386
91	0.3151022102
92	0.3148310716
93	0.3145733168
94	0.3140641106
95	0.3137201911
96	0.3131354201
97	0.3126756558
98	0.3123270772
99	0.3119708727
100	0.3115718282
101	0.3110306736
102	0.3106457316
103	0.3103947652
104	0.310105913
105	0.3097999471
106	0.3094446309
107	0.3092060377
108	0.3089635451
109	0.3086610718
110	0.3082000054
111	0.3073541463
112	0.306921502
113	0.306579071
114	0.3063182814
115	0.3060185649
116	0.3055229594
117	0.3053092041
118	0.3049927945
119	0.304870792
120	0.3044182332
121	0.304187144
122	0.3040625678
123	0.3037845866
124	0.3031786702
125	0.3026983202
126	0.302395674
127	0.3018339539
128	0.3013588698
129	0.3011356303
130	0.3007908325
131	0.3004087999
132	0.2999800958
133	0.2995928548
134	0.299382548
135	0.298914188
136	0.2987993978
137	0.2984251336
138	0.2981316088
139	0.2979104852
140	0.2976783956
141	0.2973040093
142	0.2970261875
143	0.2966554803
144	0.2964834323
145	0.2961509942
146	0.2957971463
147	0.29569654
148	0.2954086473
149	0.2949681125
150	0.2948094923
151	0.2947054647
152	0.2944168735
153	0.2942569987
154	0.2938824565
155	0.2935756293
156	0.2932924873
157	0.2929774068
158	0.2926545207
159	0.2923859965
160	0.2920988329
161	0.2919350145
162	0.2918411051
163	0.2915087857
164	0.2913845554
165	0.290946011
166	0.2906911655
167	0.2905738661
168	0.2903401862
169	0.2901595493
170	0.2900159268
171	0.2895564609
172	0.2893130222
173	0.2891672499
174	0.2887945285
175	0.2884950867
176	0.2882515089
177	0.2880473633
178	0.2877099304
179	0.2876164992
180	0.2873553636
181	0.2871371663
182	0.286889011
183	0.2866450772
184	0.2863886753
185	0.2862983398
186	0.2860001458
187	0.2858060438
188	0.2856028273
189	0.2854338447
190	0.2851244812
191	0.2849425218
192	0.2848244358
193	0.2845479329
194	0.284324039
195	0.2841758321
196	0.2840362142
197	0.2839569906
198	0.2838773702
199	0.2836016676
