feature,importance,importance_pct,cumulative_pct
text__200,0.0026159259,0.2615926,75.56034
cat__category_id_MLA41056,0.0026146509,0.26146507,75.82181
cat__category_id_MLA5496,0.0026087028,0.26087028,76.08268
text__made in,0.0026075777,0.26075777,76.34344
text__gráfico,0.0025875915,0.25875914,76.602196
cat__category_id_MLA41112,0.002561637,0.2561637,76.85836
cat__category_id_MLA119287,0.0025375339,0.2537534,77.112114
cat__listing_type_id_gold_premium,0.0024918725,0.24918725,77.3613
cat__category_id_MLA41176,0.0024814056,0.24814056,77.609436
text__film,0.0024674204,0.24674204,77.85618
text__buenos aires,0.002463672,0.2463672,78.10255
text__souvenir,0.002455834,0.2455834,78.34813
cat__category_id_MLA22281,0.0024348989,0.24348989,78.59162
text__artesanal,0.002429944,0.2429944,78.83462
num__num_sub_status,0.0024102312,0.24102312,79.07564
num__num_tags,0.0023731554,0.23731555,79.31295
text__escape,0.002368955,0.2368955,79.54984
text__bateria,0.0023678562,0.23678562,79.78663
text__piezas,0.0023661784,0.23661785,80.02325
text__buen,0.002363123,0.2363123,80.25956
text__escritorio,0.0023546808,0.23546807,80.495026
text__jose,0.0023441515,0.23441514,80.72944
cat__category_id_MLA44327,0.0023309586,0.23309585,80.96253
num__num_pictures,0.0023118695,0.23118696,81.19372
text__colores,0.002286786,0.2286786,81.42239
text__led,0.0022864135,0.22864135,81.65103
text__blu,0.0022848698,0.22848698,81.87952
text__hot,0.0022831382,0.22831382,82.107834
text__mm,0.0022825166,0.22825165,82.33608
cat__category_id_MLA86029,0.002276992,0.22769919,82.56378
cat__category_id_MLA73721,0.0022699463,0.22699463,82.79078
text__circular,0.002236221,0.2236221,83.014404
text__taza,0.002223505,0.2223505,83.236755
text__250,0.0022207056,0.22207056,83.458824
cat__category_id_MLA41178,0.0022169969,0.22169968,83.68053
text__firmado,0.002211546,0.2211546,83.90168
text__silicona,0.0022052245,0.22052245,84.1222
text__antiguos,0.002203518,0.2203518,84.34255
num__num_variations,0.00219212,0.21921201,84.56177
text__pack,0.0021712114,0.21712114,84.77889
text__artesonido,0.0021558052,0.21558052,84.99448
cat__category_id_MLA84579,0.0021548986,0.21548986,85.20997
text__cristal,0.0021398386,0.21398386,85.42395
text__grafico,0.0021182934,0.21182935,85.63578
text__perfume,0.0021116475,0.21116476,85.84695
text__wheels,0.0020742128,0.20742127,86.05437
text__completa,0.002059787,0.2059787,86.260345
text__100,0.0020596643,0.20596643,86.46631
text__coleccion,0.0020529712,0.20529711,86.67161
text__llave,0.0019928147,0.19928147,86.87089
text__excelente,0.001966222,0.1966222,87.06751
text__album,0.0019641414,0.19641414,87.26392
text__argentino,0.0019517052,0.19517052,87.45909
text__river,0.0019440417,0.19440417,87.653496
cat__category_id_MLA117185,0.0019425337,0.19425337,87.84775
text__llavero,0.0019226229,0.19226229,88.04001
text__porcelana,0.0019188176,0.19188176,88.23189
text__calidad,0.0019107013,0.19107012,88.42296
text__notebook,0.0018451539,0.18451539,88.607475
text__nuevas,0.0018115224,0.18115224,88.78863
cat__category_id_MLA1458,0.001792865,0.1792865,88.96791
text__mano,0.0017716223,0.17716223,89.14507
text__remeras,0.0017677151,0.1767715,89.321846
text__vendo,0.0017601618,0.17601618,89.49786
cat__category_id_MLA3530,0.0017018719,0.17018719,89.66805
text__juegos,0.0016995705,0.16995704,89.83801
text__historia,0.0016655518,0.16655518,90.00457
text__acondicionado,0.0016209518,0.16209517,90.166664
text__españa,0.0016134809,0.16134809,90.32801
text__video,0.00159927,0.15992701,90.48794
text__puerta,0.0015866804,0.15866804,90.64661
text__mate,0.0015645784,0.15645784,90.80306
text__dije,0.0015584008,0.15584008,90.9589
text__afiche,0.0015508601,0.15508601,91.11398
text__madre,0.0015302434,0.15302435,91.267006
text__alquiler,0.0015150368,0.15150368,91.41851
cat__category_id_MLA373053,0.0014915082,0.14915082,91.56766
text__estilo,0.0014731077,0.14731078,91.714966
text__filtro,0.0014608572,0.14608572,91.86105
text__dvd,0.0014323649,0.14323649,92.00429
cat__category_id_MLA60967,0.0014188631,0.14188631,92.14617
text__par,0.001410173,0.1410173,92.287186
text__yamaha,0.0013941394,0.13941394,92.4266
text__repuestos,0.0013879304,0.13879304,92.56539
text__entrega,0.0013647217,0.13647217,92.701866
text__disney,0.0013322359,0.1332236,92.83509
text__luis,0.0013189524,0.13189524,92.96699
text__auto,0.0013175069,0.13175069,93.09874
text__in,0.001307518,0.1307518,93.22949
cat__listing_type_id_gold_special,0.0012904372,0.12904371,93.358536
text__oferta,0.0012753872,0.12753873,93.48608
text__juan,0.0012098092,0.12098092,93.607056
text__precio,0.0012074527,0.12074527,93.7278
text__casi,0.0011917414,0.119174145,93.84697
text__pc,0.0011735688,0.117356874,93.964325
cat__category_id_MLA1227,0.0011632285,0.11632285,94.08065
text__remera,0.0011546407,0.11546407,94.19611
cat__category_id_MLA1503,0.0011391486,0.11391486,94.31003
text__dvd original,0.0011353238,0.11353238,94.42356
text__libro,0.0011092004,0.11092004,94.534485
text__2014,0.001107822,0.110782206,94.64526
text__foto,0.0010900033,0.10900033,94.754265
cat__category_id_MLA26947,0.0010588011,0.10588011,94.860146
text__camara,0.0010486648,0.10486648,94.96501
text__moneda,0.0010349166,0.103491664,95.068504
